Neighbourhood,BikeShare Rides,Census Rides,Rider Utilization
Annex,88425,1675,0.0202264539372105
Bathurst Manor,263,15,0.006717752234993614
Bay Street Corridor,509735,325,0.6009254347185382
Birchcliffe-Cliffside,92,140,0.00025177887246852763
Blake-Jones,1219,305,0.001531310847308586
Bridle Path-Sunnybrook-York Mills,761,35,0.008330596606458676
Broadview North,8065,295,0.010474706149749984
Cabbagetown-South St.James Town,47339,0,0.0
Casa Loma,17476,215,0.031143188095874543
Church-Yonge Corridor,238422,690,0.1323904714309512
Corso Italia-Davenport,2833,355,0.003057579191624845
Danforth,6116,295,0.007943372946295215
Danforth East York,3975,400,0.003807471264367816
Dovercourt-Wallace Emerson-Junction,45485,1980,0.008801617709663687
Dufferin Grove,17709,775,0.008754912866147572
East End-Danforth,3965,365,0.004162074214034535
Flemingdon Park,563,50,0.004314176245210728
Forest Hill North,1625,95,0.006553740673522887
Forest Hill South,1626,150,0.004153256704980843
Greenwood-Coxwell,5042,580,0.003330690976350905
Guildwood,108,10,0.004137931034482759
High Park North,8194,565,0.00555657274607534
High Park-Swansea,11772,810,0.005568326947637293
Highland Creek,14,25,0.00021455938697318008
Humber Heights-Westmount,163,10,0.006245210727969349
Humewood-Cedarvale,740,280,0.0010125889436234264
Junction Area,4277,525,0.003121328224776501
Kensington-Chinatown,198707,940,0.0809925002037988
Kingsway South,181,30,0.0023116219667943805
Lambton Baby Point,920,125,0.0028199233716475094
Lawrence Park North,351,85,0.0015821501014198784
Leaside-Bennington,1863,235,0.003037417461482025
Little Portugal,35378,1260,0.01075776926351639
Long Branch,518,110,0.001804249390456287
Mimico,17487,0,0.0
Morningside,78,10,0.002988505747126437
Moss Park,129650,690,0.07199178188683436
Mount Pleasant East,644,215,0.0011476432326472422
Mount Pleasant West,8258,250,0.012655938697318007
New Toronto,461,155,0.0011395377580027191
Niagara,179684,1330,0.051762740183792816
North Riverdale,25620,615,0.015961125128492664
North St.James Town,72738,0,0.0
O'Connor-Parkview,592,95,0.0023875781407541844
Oakridge,340,35,0.0037219485495347563
Oakwood Village,544,430,0.0004847188808696427
Old East York,468,145,0.0012366230677764566
Palmerston-Little Italy,52066,1470,0.01357051632913702
Playter Estates-Danforth,12644,255,0.018997821350762528
Regent Park,46814,300,0.059787994891443166
Rockcliffe-Smythe,254,85,0.0011449177372098265
Roncesvalles,16215,1075,0.005779203421545041
Rosedale-Moore Park,32030,325,0.03776009431181845
Rouge,167,20,0.003199233716475096
Runnymede-Bloor West Village,1608,265,0.0023248752981999566
South Parkdale,55448,1145,0.018554099951479865
South Riverdale,62104,1145,0.02078134149810102
Stonegate-Queensway,538,235,0.0008771500774435477
Taylor-Massey,964,55,0.006715430163706026
The Beaches,9241,570,0.006211601801438462
Trinity-Bellwoods,39476,1380,0.010960075517796658
University,129192,555,0.0891871181526354
Waterfront Communities-The Island,537848,1570,0.13125607047856114
West Hill,85,30,0.0010855683269476372
Westminster-Branson,246,60,0.0015708812260536399
Weston,93,30,0.0011877394636015325
Weston-Pellam Park,178,0,0.0
Woodbine Corridor,7546,380,0.007608388788062109
Woodbine-Lumsden,379,175,0.000829775588396278
Wychwood,18070,610,0.011349789586081276
Yonge-Eglinton,6451,145,0.01704584489364513
Yonge-St.Clair,2247,155,0.005554319614386355
York University Heights,512,115,0.0017058137597867732
ernie,9,0,0.0
lee,263,0,0.0
