,Neighbourhood,Bike spots addition,Bike spots % change
0,Westminster-Branson,104,274
1,Rockcliffe-Smythe,89,473
2,Birchcliffe-Cliffside,85,386
3,Stonegate-Queensway,76,181
4,Humewood-Cedarvale,75,209
5,Weston,64,239
6,West Hill,62,114
7,Oakwood Village,59,109
8,Highland Creek,57,358
9,York University Heights,43,40
10,Mount Pleasant East,38,92
11,Woodbine-Lumsden,34,226
12,Blake-Jones,29,196
13,New Toronto,17,34
14,Long Branch,0,0
15,Old East York,0,0
16,Lawrence Park North,0,0
17,Danforth,0,0
0,South Riverdale,-227,0
1,South Parkdale,-155,0
2,Yonge-Eglinton,-106,0
3,North Riverdale,-55,0
4,Playter Estates-Danforth,-15,0
5,Annex,-9,0
6,Palmerston-Little Italy,0,0
7,Mount Pleasant West,0,158
0,South Riverdale,-227,-53
1,South Parkdale,-155,-43
2,Yonge-Eglinton,-106,-51
3,North Riverdale,-55,-45
4,Playter Estates-Danforth,-15,-24
5,Annex,-9,-2
6,Palmerston-Little Italy,0,0
7,Mount Pleasant West,0,0
